Nota,Resposta,Perfil
10,Atendimento exemplar e programa de fácil manuseio.,Promoters
9,por ajudar muito nas licitações,Promoters
5,,Detractors
8,"Pronto atendimento, agilidade, simpatia, disponibilidade, faltando apenas mais clareza no sistema.",Passives
10,Rapidez e eficiência nos trabalhos.,Promoters
9,,Promoters
9,ok,Promoters
10,Agilidade no processo da merenda,Promoters
10,Excelente atendimento,Promoters
10,atendimeto excelente,Promoters
10,atenção,Promoters
10,"Facilidade em manusear, sempre estão inovando para melhor atender.",Promoters
7,,Passives
10,,Promoters
10,LEGAL,Promoters
9,ok,Promoters
6,Sistema muito pesado e muda o tempo todo. Cada semestre temos que reaprender a utilizar o sistema.,Detractors
8,,Passives
8,"O sistema é eficiente, porém ainda não é excelente.",Passives
10,,Promoters
10,,Promoters
9,"O surgimento do sistema poderia ter acabado comaprestação física, quando na verdade, apensa gerou duplicidade de serviço: Alimentar o sistema e enviar a prestação.",Promoters
10,excelente,Promoters
9,Praticidade e Agilidade,Promoters
10,,Promoters
8,,Passives
9,oi,Promoters
9,É dinâmico e tem ótimo atendimento para tirar dúvidas.,Promoters
10,PRATICIDADE,Promoters
8,Funciona bem,Passives
7,,Passives
7,Esta caminhando,Passives
10,Excelente atendimento.,Promoters
10,"Eficiência e rapidez, no controle desde da aquisição dos produtos ate prestação de contas.",Promoters
10,facilidade em fazer o cardápio,Promoters
9,Ótimas ferramentas de auxílio. Ficaria bem melhor se a prestação de contas também fosse pelo sistema.,Promoters
10,,Promoters
10,muito bem atendida,Promoters
10,Atendimento,Promoters
9,,Promoters
8,,Passives
8,"Muito prático, não dei a nota máxima porque sempre tem que estar inovando.",Passives
8,,Passives
9,Suporte técnico satisfatório,Promoters
9,"Acho que tem cardápio que as merendeiras não sabe fazer bem. e poderiam fazer curso de manipulação, conservação e higienização, assim melhorava a qualidadee os alunos teriamuma melhor aceitação de alguns cardápios.",Promoters
7,pode melhorar,Passives
8,,Passives
9,plataforma que atende às necessidades para desenvolver de forma rápida todo o processo de alimentação escolar.,Promoters
8,ok,Passives
8,,Passives
7,"Tenho sempre dificuldade para dar continuidade, sempre trava na pagina principal.
 O atendimento de suporte é otimo, mas raramente consigo iniciar trabalho sem ajuda destes.",Passives
10,"O sistema está sempre se atualizando ,conforme as necessidades dos usuários.",Promoters
8,,Passives
9,,Promoters
8,agilidade nas soluções dos problemas.,Passives
10,Prático e funcional,Promoters
10,EXCELENTE,Promoters
8,O uso do sistema precisa melhorar na agilidade!,Passives
9,,Promoters
9,,Promoters
9,facilitador,Promoters
10,,Promoters
6,,Detractors
9,,Promoters
4,Precisa de ajustes,Detractors
9,O sistema é de fácil entendimento.,Promoters
8,"acho que tem alguns pontinhos que o sistema deve ser aprimorado, por exemplo: a questão do cardápio, a montagem do mesmo é um pouco cansativa, e lista de compras, deveria dar opção de excluir um item, quando a gente erra, tem que excluir tudo é recom",Passives
9,"pelo atendimento, e o próprio programa ser eficiente, que agiliza nosso trabalho.",Promoters
9,"Equipe dinâmica, eficiente, simpática e responsável",Promoters
4,h,Detractors
10,Facilita os trabalhos,Promoters
10,Muito bom,Promoters
9,Muito bom. Apenas precisa ajustar alguns pontos como por exemplo: Termo de Recebimento da Agricultura Familiar já preenchido.,Promoters
5,,Detractors
0,,Detractors
10,,Promoters
10,"Ótima ferramenta para auxilio nas prestações de contas, e controle na merenda escolar.",Promoters
9,Algumas funcionalidades ainda precisam ser aprimoradas.,Promoters
10,"O sistema nos ajuda e facilita as nossas vidas. As pessoas que nos atendem são educadas, bem treinadas e extremamente pacientes.",Promoters
9,Agilidade e praticidade,Promoters
10,"Esse programa é tudo de bom, e os técnicos são excelentes.Parabéns!",Promoters
7,,Passives
8,"Faltou capacitação para o responsável pelo sistema. O suporte por muitas vezes nos auxilia, porém a resposta nem sempre é imediata.",Passives
9,"É uma ótima ferramenta de trabalho, facilitando muitas coisas.",Promoters
8,muito bom,Passives
10,"facilidade, praticidade e rapidez.",Promoters
10,otimo,Promoters
10,Atendimento imediato e prestativo.,Promoters
10,,Promoters
9,,Promoters
8,ok,Passives
8,a,Passives
0,SEM TEMPO,Detractors
7,O Sistema ainda é confuso.,Passives
8,Por agilizar o trabalho do gestor e equipe.,Passives
8,,Passives
7,,Passives
10,Fácil manuseio e confiável na informações inseridas.,Promoters
10,sistema fácil e otimizado.,Promoters
10,"Ótimo atendimento! Todas as vezes que ligo, consigo resolver minhas dúvidas.",Promoters
10,"parabénspelo atendimento, nota 10 0brigado pela sua paciência Tonetti",Promoters
10,Rapidez no atendimento e qualidade dos atendentes.,Promoters
9,Algumas funcionalidades poderiam ser mais rápidas.,Promoters
8,às vezes temos dificuldade em lançar o cardápio.,Passives
6,O sistema é lento. Esta em constante mudança. Perca de tempo em procurar alguns itens ou ações.,Detractors
9,,Promoters
8,,Passives
9,Atende minhas necessidades,Promoters
10,Facilita o trabalho,Promoters
9,,Promoters
9,serviços prestados,Promoters
8,muito bom o atendimento,Passives
9,"Atende as necessidades, facilidade",Promoters
9,POR ESTAR SEMPRE ALGUEM A NOS ORIENTAR E A FACILIDADE DOS CALCULOS E DOCUMENTAÇÃO SEM ERROS JA CORIGIDO PELO JURIDICO,Promoters
8,"Alguns ajustes tem que ser feitos, como nos valores, já deveria estar lançado com o preço de referência.",Passives
9,muito bom .só precisamos de mais opcões novas de cardápio,Promoters
9,,Promoters
10,sempre é resolvido alguma duvida o atendimento é perfeito,Promoters
7,"É um ótimo recurso, mas as vezes trava.",Passives
10,"o sistema sistema é muito bom, e também bem didático e instrutivo",Promoters
10,Atendimento satisfatório.,Promoters
8,"Por nos ajudar, mas falta um sistema de pregão eletronico.",Passives
8,"Muito bom, mas falta sistema de pregão presencial",Passives
10,programa muito bom de se usar..didatico e instrutivo,Promoters
10,sistema de fácil manuseio e suporte técnico eficiente.,Promoters
9,1,Promoters
7,,Passives
9,,Promoters
8,"TODOS OS DOCUMENTOS REFERENTE A LICITAÇÃO, DEVERIAM SER ATRAVÉS DO sistema.",Passives
8,ok,Passives
8,facilidade,Passives
10,facilidade de manuseio,Promoters
9,Facilita o nosso trabalho,Promoters
10,pratico,Promoters
10,exelente,Promoters
9,funcional,Promoters
9,Agilidade,Promoters
10,Maravilhoso,Promoters
10,auxilia muito,Promoters
10,pela atenção e orientação. sempre que precisamos ou temos dúvidas somos bem atendidos,Promoters
9,facilita o trabalho,Promoters
8,,Passives
9,,Promoters
9,Porque o sistemaé muito bom de se usar.,Promoters
6,.,Detractors
6,porque toda hora tem que responder,Detractors
9,,Promoters
10,..,Promoters
10,...,Promoters
5,precisa melhorar muito!,Detractors
10,sistema excelente,Promoters
10,,Promoters
10,sistema excelente,Promoters
9,Estão sendo bem solicitos quando evocados. Prestativos,Promoters
9,,Promoters
7,Agiliza os trabalhos.,Passives
9,.,Promoters
3,dfd,Detractors
9,otimo auxilio pra nosso trabalho,Promoters
9,"tá ficando cada vez melhor. Sucesso.
 Prof. João, Escola Consuelo Muller",Promoters
5,tem que melhorar muito ainda,Detractors
9,,Promoters
8,...,Passives
10,m,Promoters
10,m,Promoters
8,facilidade,Passives
10,acessivel,Promoters
8,ok,Passives
7,,Passives
9,,Promoters
2,,Detractors
8,a disposição em resolver os problemas quando detectado.,Passives
10,"Pela agilidade dos trabalhos, pela atenção dos atendentes e pela cooperação de toda a equipe.",Promoters
10,,Promoters
10,Ele é rápido e acessível .,Promoters
10,agilidade no trabalho e bom atendimento por parte dos técnicos responsáveis pelo sistema. Parabéns!!!!!,Promoters
9,,Promoters
8,O sistema é bom.,Passives
10,Nota dez porque todas as vezes que precisei do suporte fui atendida e resolvemos o problema juntos com agilidade.,Promoters
8,ok,Passives
10,,Promoters
9,,Promoters
9,praticidade.,Promoters
8,,Passives
10,Pois o sistema tras uma limgiagem fácil e quando entramos em contato com os tecnicos através de telefone semore fomos muito bem atendido.,Promoters
8,,Passives
5,"Acaba fazendo com que tenhamos trabalho em dobro. Ações desenvolvidas no sistema, deveriam eliminar o processo físico, ou pelo menos diminuir a quantidade de documentos necessários.",Detractors
6,,Detractors
10,"Eficiencia, rapidez.",Promoters
10,Praticidade,Promoters
10,AGILIDADE,Promoters
10,"POR SER O MELHOR SISTEMA PARA TRABALHAR SÓ FALTA A PRESTAÇÃO DE CONTAS SER AQUI TBÉM. FICARIA OTIMO, VAMOS PROVIDENCIAR???",Promoters
10,"Muito funcional, parabéns a equipe!",Promoters
10,PRATICIDADE,Promoters
10,melhora o serviço.,Promoters
9,facilidade e suporte,Promoters
6,precisa de melhorias,Detractors
10,Pelo bom atendimento dos técnicos.,Promoters
9,Melhorar o Cardápio para escola do Campo,Promoters
10,Programa de fácil acesso,Promoters
10,Agilidade nos processos,Promoters
9,O programa atende nossas necessidades.,Promoters
9,,Promoters
10,,Promoters
10,O sistema é uma excelente ferramenta para o trabalho da merenda escolar.,Promoters
10,p,Promoters
6,"O motivo não é o sistema.
 Deve haver da parte da nutricionista uma atualização de cardápios(muito caros) e de quantidades.
 Costumamos oferecer bem mais aos alunos.",Detractors
7,.,Passives
9,bom programa,Promoters
10,espetacular,Promoters
10,"Tem contribuído muito na praticidade da prestação de conta, embora o sistema de papelada ainda tem dificultado a agilidade do processo, pois estamos realizando tanto o sistema papel zero, quanto o físico.",Promoters
10,,Promoters
9,agilidade no atendimento e qualidade serviços prestados,Promoters
9,facilidade,Promoters
10,"Muito bom, fácil e prático.",Promoters
8,"meu acesso ao programa é esporádico, nao tenho como avaliar",Passives
9,,Promoters
10,praticidade,Promoters
9,"porque acredito que vcs são capazes de deixar tudo na plataforma do início até o fim do processo licitatório e prestação de conta, sem a necessidade de preencher formulários extras. Vcs são muito ""foda"" no que fazem.Parabéns. Feliz Natal e Boas Festas.",Promoters
10,Agilidade e praticidade.,Promoters
10,muito bom o sistema operacional da empresa bastante didático,Promoters
10,- sempre me orientou e o atendimento é ótimo,Promoters
10,,Promoters
8,"Muito bom o sistema, mas com períodos de lentidão",Passives
10,,Promoters
8,,Passives
8,Ok,Passives
10,Os atendentes são muitos atenciosos.,Promoters
9,É um ótimo programa para auxiliar o Diretor escolar.,Promoters
10,"É PRÁTICO, E AJUDA AS ESCOLAS MANTER UMA ALIMENTAÇÃO BALANCEADA.",Promoters
8,OK,Passives
7,"Na minha opinião, vocês poderiam criar a versão desktop, pois no interior temos problemas sérios com a velocidade da internet, dificultando sobremaneira o nosso trabalho.",Passives
10,"O sistema facilita o trabalho do gestor, pois contribui para selecionarmos um bom cardápio para nossos estudantes",Promoters
8,bom,Passives
9,dez,Promoters
6,,Detractors
8,"Mesmo escolhendo as preparações mais simples, não consigo fechar o valor. O cardápio fica mais caro",Passives
9,.,Promoters
9,É otimo,Promoters
10,FACILIDADE,Promoters
10,agilidade,Promoters
9,atendimento,Promoters
9,"Me adaptei bem ao sistema, muito prático, facilitando nosso trabalho.",Promoters
10,perfeito,Promoters
9,,Promoters
5,"Muitas falhas. 
 Em um semestre, um determinado item está funcionando bem, no semestre que vem não funciona.",Detractors
9,Prestatividade dos atendentes,Promoters
3,"Muitos erros no sistema, não consegue fazer algumas ações, toda hora dá erro e perde a página.",Detractors
7,falta algumas funcionalidades.,Passives
8,recomendaria,Passives
6,Nunca consigo passar desta página.,Detractors
10,muito bom o sistema,Promoters
9,Facilita muito o trabalho,Promoters
9,ok,Promoters
8,nnnnnnnnnnnnnnnn,Passives
9,sim,Promoters
10,"Amo o sistema. Acho prático, preciso, muito fácil de fazer o passo a passo, de cada item referente à elaboração do processo da merenda. Muito bom!!!",Promoters
8,nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,Passives
8,,Passives
9,bom aplicativo,Promoters
10,,Promoters
9,OK,Promoters
8,Sistema ta progredindo para melhor.,Passives
10,PROGRAMA PERFEITO,Promoters
10,"Pratico,",Promoters
10,p,Promoters
10,otimo,Promoters
10,"É um programa inovador, que veio pra facilitar os trabalhos do gestor escolar e de seus assistentes, na inserção de dados, com mais agilidade, praticidade e transparência.",Promoters
8,nnnnnnnnnnnnnnnnnnnnnnnnn,Passives
10,,Promoters
10,Ótimo sistema,Promoters
9,,Promoters
8,muito bom,Passives
10,,Promoters
9,pratico,Promoters
9,,Promoters
9,pratico,Promoters
9,ok.,Promoters
8,praticidade,Passives
10,,Promoters
10,p,Promoters
10,o sistema agilizou o processo de aquisição da merenda escolar.,Promoters
9,ok.,Promoters
9,,Promoters
10,,Promoters
10,"O sistema é muito istruturado, com uma boa equipe, que sempre tem nos atendido e resolvido os problemas muito bem",Promoters
10,,Promoters
9,Não deixando cair o sistema e opps,Promoters
9,,Promoters
8,ok,Passives
10,ter formação para apreender a mexer no sistema,Promoters
10,,Promoters
8,pela atenção em resolver os problemas.,Passives
8,a,Passives
10,,Promoters
9,"O sistema é bom, mas quando estamos nos habituando, muda, aí ficamos perdidos...porém, sempre que solicitamos ajuda, somos quase que imediatamente, atendidos. Este sistema é bem prático, ferramenta que nos dá suporte para realizarmos o processo licitatório mais rápido. É um pouco repetitivo em algumas ações que realizamos, mas de muita utilidade e praticidade.",Promoters
10,Mantendo o atendimento por telefone,Promoters
10,,Promoters
10,,Promoters
9,ÓTIMO TRABALHO.,Promoters
7,,Passives
10,sem sugestão,Promoters
9,está bom,Promoters
8,,Passives
9,Tá bom programa dessa maneira.,Promoters
10,sem sugestão,Promoters
10,,Promoters
7,,Passives
10,excelente,Promoters
8,,Passives
10,Fácil!,Promoters
10,,Promoters
9,gosto do serviço prestado.,Promoters
10,,Promoters
10,Manter o que já existe,Promoters
10,E só continuar.,Promoters
10,"Em relação ao sistema, até o presente momento não há nenhuma sugestão, pois o mesmo se faz claro e objetivo.",Promoters
10,atendimento mais rapido,Promoters
7,,Passives
6,"Diminuindo a burocracia e a quantidade de papéis, que são exigidos para licitação e prestação de contas.",Detractors
10,eu não,Promoters
10,pra mim esta excelente,Promoters
8,muito obrigado,Passives
10,,Promoters
10,,Promoters
5,M,Detractors
10,,Promoters
8,As comunicação de pendencia poderia ser encaminhando um aviso para o e-mail da instituição.,Passives
7,,Passives
9,,Promoters
10,,Promoters
7,O sistema pode ser simplificado ainda mais.,Passives
9,,Promoters
10,atraves de treinamentos,Promoters
8,,Passives
10,,Promoters
10,"facilitou nossa vida , gestores de atividades educacionais",Promoters
8,"Melhorar o campo cardápio, toda vez que tem que arrumar uma determinada data no calendário tem que voltar desde o início do ano.",Passives
10,ok,Promoters
10,ok,Promoters
10,ok,Promoters
10,,Promoters
10,Ta muito bom programa.,Promoters
10,ESTÁ BOM.,Promoters
9,"Não dou nota 10 por que ainda precisamos fazer o processo físico, então aumenta o trabalho. Mas a ferramenta é muito boa",Promoters
10,ok,Promoters
9,.,Promoters
8,Sempre,Passives
8,sempre,Passives
8,ok,Passives
10,nota 10,Promoters
10,,Promoters
10,,Promoters
7,Bom,Passives
9,,Promoters
10,Sistema muito bom.,Promoters
10,Não é necessário melhorias.,Promoters
8,,Passives
8,fazer td a licitação deste semestre no semestre anterior,Passives
9,Não tenho sugestão para melhorar,Promoters
10,,Promoters
8,,Passives
9,boa ferramenta,Promoters
10,*,Promoters
9,"Estamos satisfeitos obrigada! Há situações que ainda tem que ser resolvidas com a SED, mas nesse ponto acredito que não há outra forma.",Promoters
8,,Passives
10,,Promoters
10,Praticidade,Promoters
10,,Promoters
10,Está tudo ótimo.,Promoters
10,,Promoters
10,,Promoters
10,,Promoters
10,,Promoters
9,Agradeço toda a ajuda.,Promoters
8,acesso a todos os itens estão bons,Passives
8,,Passives
10,muito bom este sistema,Promoters
10,Pra mim está muito bom,Promoters
10,,Promoters
7,,Passives
9,,Promoters
10,Excelente plataforma e assistência,Promoters
9,através de novos conhecimentos,Promoters
10,,Promoters
9,O atendimento mais rápido.,Promoters
10,100% funcional!,Promoters
10,..,Promoters
10,esta ótimo,Promoters
10,NADA A DECLARAR NO MOMENTO,Promoters
10,,Promoters
10,,Promoters
10,é bom e confiavel,Promoters
10,,Promoters
10,,Promoters
10,Ótima ferramenta para auxiliar os gestores.,Promoters
10,O processo de prestação de contas poderia acontecer no próprio sistema.,Promoters
10,,Promoters
10,"Está bem intuitivo, o ambiente.",Promoters
9,,Promoters
8,,Passives
10,,Promoters
8,,Passives
10,está otimo,Promoters
10,Todos atendentes muito atenciosos e capacitados.,Promoters
9,",,,",Promoters
9,,Promoters
7,atualização de datas e novas orientações,Passives
10,Muito bom,Promoters
10,,Promoters
10,"Todas as vezes que preciso, me esclarecem com total satisfação",Promoters
5,,Detractors
10,"Site acessível, completo, com informações claras.",Promoters
8,ok,Passives
8,ok,Passives
8,atualizando mais rapidamente o sistema em conexão com as demandas da SED.,Passives
10,,Promoters
10,Atendimento via whatsapp para facilitar mais ainda,Promoters
9,POR MEIO DE UMA WEB.,Promoters
10,boa,Promoters
10,"Na montagem do cardápio as mensagem durante o processo no sistema é muito rápida, assim ficamos sem saber qual foi o alerta dado, pois se não consigo retornar fico sem entender.",Promoters
9,Sistema de fácil manuseio e equipe que presta ótimo assessoramento.,Promoters
10,,Promoters
10,,Promoters
9,,Promoters
10,,Promoters
10,,Promoters
9,Ta muito bom,Promoters
7,,Passives
10,,Promoters
10,OTIMOS,Promoters
10,Continuando com bom atendiimento,Promoters
10,pratico,Promoters
10,O layout está bacana.,Promoters
9,,Promoters
9,acho tudo muito pratico,Promoters
9,maior atualização,Promoters
7,,Passives
7,precisa de ajustes,Passives
8,,Passives
10,Está ótimo.,Promoters
10,Está muito bom,Promoters
10,,Promoters
7,,Passives
10,Como considerar o sistema de lançamento o arredondamento na NF,Promoters
10,,Promoters
10,bom,Promoters
10,,Promoters
10,,Promoters
7,,Passives
10,ESTÁ ÓTIMO DO JEITO QUE ESTÁ,Promoters
10,,Promoters
10,...,Promoters
10,Estou satisfeita,Promoters
9,acho um programa fácil de usar,Promoters
9,Na minha opinião são realizados bons serviços,Promoters
10,Acredito que as orientações até o momento são ótimas.,Promoters
8,,Passives
8,tranquilo,Passives
7,Ok,Passives
9,"Quando houver solicitação, favor enviar lembrete no e-mail",Promoters
10,Sempre auxiliando nas duvidas,Promoters
10,pratico,Promoters
9,Satisfeita com o trabalho realizado pela equipe.,Promoters
9,,Promoters
10,nada a acrescentar,Promoters
8,o Cardápio que às vezes não é aceito.,Passives
9,O sistema é muito bom. Os analistas são excelentes quanto à orientação. Acho que um manual seria muito bom. Surgem muitas dúvidas.,Promoters
9,.,Promoters
6,,Detractors
10,,Promoters
10,,Promoters
10,TUDO TRANQUILO..,Promoters
9,,Promoters
10,,Promoters
10,,Promoters
6,,Promoters
9,,Promoters
10,,Promoters
7,simplificação de alguns tópicos.,Passives
10,bom,Promoters
10,,Promoters
10,praticidade,Promoters
9,...,Promoters
10,,Promoters
10,,Promoters
10,Ótimo serviço!,Promoters
9,"não fiquei preocupada pois havia lançado as notas fiscais e a sed me ligou que faltava uma nota fiscal pra lançar sendo fe tinha finalizado , fiquei preocupada, como saber se por algum motivo sumil a nota fiscal do sistema",Promoters
10,É um Sistema muito bom..,Promoters
7,precisa de melhorias,Passives
9,"meio complicado, mas quando ligamos somos bem atendido.",Promoters
8,,Passives
9,Pode melhorar,Promoters
10,otimo,Promoters
10,está sempre melhorando. se atualizando.,Promoters
8,gerando todos os documentos da licitação.,Passives
10,No momento está ótimo.,Promoters
10,ESTÁ ÓTIMO!!!,Promoters
10,,Promoters
7,Dividir as pendências em outro setor,Passives
8,nada a declarar,Passives
9,,Promoters
10,"Suporte técnico da melhor qualidade, relacionamento nota 1000",Promoters
10,,Promoters
10,,Promoters
10,Para mim o sistema é excelente.,Promoters
10,,Promoters
8,,Passives
8,,Passives
10,pronto atendimento e excelente atendimento,Promoters
7,,Passives
10,,Promoters
7,,Passives
8,,Passives
10,,Promoters
10,,Promoters
10,,Promoters
10,,Promoters
8,Está muito bom!,Passives
9,,Promoters
8,,Passives
10,No momento não tem nada pra melhorar.,Promoters
10,"A cada dia, o chefscolar fica mais acessivel e de fácil compreensão. Para mim, no momento, está ótimo",Promoters
8,"O edital da merenda deveria sair mais resumido, muitas paginas na parte dos produtos",Passives
7,Mandar mais tutoriais na forma de vídeo ajudaria,Passives
8,,Passives
10,"Penso que poderia habilitar possibilidade de imprimir a lista de compras do sistema, o resto está ótimo.",Promoters
10,,Promoters
8,,Passives
10,"Serviço completo, atendimento essencial, tudo perfeito",Promoters
9,,Promoters
10,muito bom,Promoters
10,Sou nova aqui,Promoters
10,Por enquanto está tudo certo!,Promoters
9,,Promoters
10,,Promoters
3,,Detractors
10,"OTIMO, O SUPORTE É MUITO COLABORATIVO. SOU ATENDIDA PELO CHAT PRONTAMENTE, MUITO EFICIENTE.",Promoters
8,ok,Passives
10,,Promoters
10,Acesso mais simples,Promoters
10,para mim esta tudo muito bom.,Promoters
10,"Esta ótimo, o sistema funciona muito bem.",Promoters
10,,Promoters
9,está bom.,Promoters
10,,Promoters
9,,Promoters
10,,Promoters
8,,Passives
10,Por enquanto está tudo ótimo,Promoters
10,,Promoters
8,MAIS FUNÇÕES,Passives
9,,Promoters
10,,Promoters
8,,Passives
10,"Minha experiência é muito positiva, sou iniciante na gestão escolar e o sistema para mim é muito prático. Destaco ainda o atendimento no chatt que é maravilhoso! Nota dez!",Promoters
10,"Estou muito satisfeita.
 Excelente atendimento!!!",Promoters
9,,Promoters
10,,Promoters
10,Sempre muito atenciosos e sempre que necessário conseguem sanar nossas dúvidas.,Promoters
8,Boa,Passives
10,,Promoters
10,Está excelente,Promoters
5,ssss,Detractors
6,"Acredito que deveria ter no sistema um espaço com mapa comparativo de preços, que após lançarmos os preços, este já identificaria o menor preço e já gerariam a minuta de contrato, pois para fazer manual o risco de cometermos erro aumenta.",Detractors
10,Muito positiva. Orientação de primeira. Parabéns!,Promoters
9,ok.,Promoters
10,,Promoters
8,,Passives
9,.,Promoters
9,NNNN,Promoters
9,NNNN,Promoters
10,,Promoters
9,,Promoters
10,"olha desta forma que vem sendo desenvolvido esta otimo, os técnicos muito bem qualificados e com um bom atendimento",Promoters
10,pra mim esta otimo,Promoters
10,,Promoters
10,Juliana Medina . essa servidora faz a diferença. está ótimo.,Promoters
9,,Promoters
10,está otimo,Promoters
10,Agilidade e otimo atendimento pelos tecnicos,Promoters
10,,Promoters
7,dando um curso de capacitação presencial.,Passives
10,Por enquanto está tudo ótimo...,Promoters
10,,Promoters
9,otimo,Promoters
9,esta td bem,Promoters
10,,Promoters
10,,Promoters
10,,Promoters
10,Acredito que esteja ocorrendo tudo dentro da normalidade.,Promoters
8,ficou bom,Passives
10,,Promoters
8,bom,Passives
10,Excelente o atendimento.,Promoters
10,ok,Promoters
9,ta otimo,Promoters
8,tornando mais simples,Passives
10,muito boa,Promoters
10,,Promoters
10,Está excelente,Promoters
10,,Promoters
10,Excelente.,Promoters
8,,Passives
9,ok,Promoters
10,,Promoters
9,Com videos explicativos como vcs tem feito,Promoters
9,,Promoters
10,,Promoters
9,,Promoters
10,"Um sistema excelente, por mim está tudo certo.",Promoters
7,Tela inicial mais clara,Passives
10,,Promoters
10,ESTA OTIMO.O QUE FALTA E VCS FAZEREM DESTAQUE DO ANO COM AS ESCOLAS QUE MELHOR SE EMPENHA NO SISTEMA.NÃO ESTOU FALANDO DE PREMIO EM VALOR MAS COMO DESTAQUE NO SISTEMA.ISSO.TIPO ISSO.JA PENSOU?,Promoters
10,Muito bom o Sistema.,Promoters
10,Já está sendo muito bem atendido!,Promoters
10,,Promoters
10,No que diz respeito em alterações de datas..de contrtatos,Promoters
8,está ok,Passives
10,,Promoters
10,.,Promoters
10,,Promoters
9,,Promoters
9,,Promoters
10,,Promoters
10,não sei.,Promoters
10,Excelente a plataforma,Promoters
10,excelente,Promoters
8,Vídeos e tutoriais,Passives
7,está bom,Passives
10,"Admiro o sistema, a forma como foi pensado e nos auxilia de uma maneira sempre a facilitar. Brilhante! Parabéns!",Promoters
7,Muito bom,Passives
7,Muito bom,Passives
8,...,Passives
10,,Promoters
10,,Promoters
9,Faço acesso e suporte para ajudar nas dificuldades sempre disponível.,Promoters
10,,Promoters
8,bem auto ditada,Passives
8,,Passives
9,,Promoters
10,"está otimo , programa facil de utilizar",Promoters
10,Poderia ter um alerta enviado por email também para qualquer coisa que tenhamos esquecido,Promoters
10,ok,Promoters
5,,Detractors
10,está otimo,Promoters
6,precisa de melhorias,Detractors
9,Está otimo.,Promoters
10,,Promoters
9,PODE MELHORAR ALGUMA COISA,Promoters
10,BOA,Promoters
10,SISTEMA FÁCIL DE UTILIZAR.,Promoters
10,É fácil de compreender o que fzer,Promoters
10,,Promoters
10,SEMPRE BEM ATENDIDA,Promoters
